B023B0237B;110101;120.18615;30.251941
;4.3;-1;['120.186857,30.251734', '120.186698,30.251347', '120.185807,30.25158', '120.185406,30.25167', '120.18546,30.25252', '120.186968,30.252191', '120.186857,30.251734']
B023B08YX1;110101;120.139608;30.199077
;4.5;-1;['']
B023B1A79P;110101;120.198296;30.225584
;4.5;-1;['120.198818,30.226471', '120.1996,30.225811', '120.199612,30.225762', '120.199609,30.225722', '120.199575,30.225684', '120.198047,30.224514', '120.197898,30.224512', '120.197553,30.224814', '120.197209,30.225138', '120.197006,30.225403', '120.198526,30.226728', '120.198818,30.226471']
B023B0A6F5;110101;120.155772;30.235885
;4.2;-1;['']
B023B015D7;110101;120.152326;30.213281
;3.8;-1;['']
B023B06H1N;110101;120.187575;30.255131
;4;-1;['120.187988,30.257605', '120.187655,30.257635', '120.187515,30.257499', '120.187534,30.256604', '120.18755,30.256336', '120.187494,30.255967', '120.187489,30.254315', '120.187435,30.253889', '120.187408,30.253194', '120.1874,30.252624', '120.187245,30.251871', '120.187175,30.251586', '120.187234,30.251563', '120.187387,30.252033', '120.187491,30.252471', '120.187529,30.252777', '120.187534,30.253294', '120.187596,30.253796', '120.187679,30.254253', '120.187684,30.25501', '120.187692,30.255349', '120.187706,30.255865', '120.187757,30.256343', '120.187754,30.256509', '120.187717,30.257024', '120.187735,30.257133', '120.187786,30.257262', '120.187971,30.257545', '120.187988,30.257605']
B023B05MLT;110101;120.157851;30.257721
;4.6;-1;['']
B023B068E2;110101;120.186034;30.248891
;4;-1;['120.185496,30.247621', '120.185072,30.246947', '120.184883,30.247003', '120.184742,30.247122', '120.184712,30.247196', '120.184874,30.247452', '120.18499,30.247622', '120.185253,30.248009', '120.18538,30.248186', '120.185552,30.248421', '120.185572,30.248449', '120.185587,30.248465', '120.185606,30.248492', '120.185617,30.248512', '120.185643,30.248561', '120.185688,30.248637', '120.185735,30.248718', '120.185817,30.248869', '120.18584,30.248935', '120.185958,30.249032', '120.186085,30.249175', '120.18614,30.249324', '120.18616,30.249492', '120.18636,30.249934', '120.186823,30.250734', '120.186859,30.250742', '120.187043,30.250658', '120.187112,30.250614', '120.187096,30.250561', '120.187139,30.250473', '120.187232,30.250411', '120.187212,30.250301', '120.187008,30.249989', '120.18663,30.249434', '120.186352,30.249002', '120.185496,30.247621']
B023B1EV80;110101;120.168652;30.25773
;4.6;-1;['120.16889,30.257954', '120.168845,30.257856', '120.168817,30.257699', '120.168817,30.257601', '120.168818,30.257473', '120.168822,30.257414', '120.168377,30.257602', '120.168475,30.257846', '120.168572,30.257976', '120.168619,30.257997', '120.168699,30.257999', '120.168739,30.257991', '120.16889,30.257954']
B023B06TYG;110101;120.161535;30.250152
;4.7;-1;['']
B023B080DN;110101;120.160749;30.25457
;3.5;-1;['']
B023B061AB;110101;120.172751;30.230729
;3.8;-1;['120.172922,30.230447', '120.17287,30.230429', '120.172539,30.230467', '120.17252,30.230479', '120.172518,30.230511', '120.172517,30.230957', '120.172556,30.231006', '120.172627,30.231018', '120.172828,30.23099', '120.172934,30.230973', '120.172995,30.230943', '120.173006,30.230872', '120.173006,30.230807', '120.17302,30.230741', '120.17303,30.230684', '120.172958,30.230621', '120.172922,30.230447']
B023B1EQES;110101;120.159631;30.256228
;4.6;-1;['']
B023B1D0DX;110101;120.162169;30.252566
;4.6;-1;['']
B023B0BFNJ;110101;120.174876;30.227192
;3.5;-1;['120.174371,30.22686', '120.175215,30.226691', '120.175332,30.227224', '120.175312,30.227272', '120.175072,30.227326', '120.175002,30.227871', '120.174847,30.227922', '120.174377,30.226918', '120.174371,30.22686']
B0FFJD6QXM;110101;120.19965;30.22884
;4.5;-1;['']
B023B01D2F;110101;120.160139;30.245915
;5.0;-1;['']
B0FFGZ0T4L;110101;120.202114;30.230133
;-1;-1;['']
B0FFF33WR4;110101;120.147535;30.203396
;-1;-1;['']
B023B14CSU;110101;120.173363;30.222277
;3.5;-1;['120.172845,30.223241', '120.172999,30.223469', '120.173049,30.223492', '120.173179,30.223537', '120.173506,30.223436', '120.173687,30.222247', '120.173768,30.221706', '120.173828,30.221256', '120.173857,30.221049', '120.173305,30.220976', '120.172845,30.223241']
B0FFI8IPXX;110101;120.178089;30.219482
;-1;-1;['']
B0FFG97772;110101;120.19906;30.232602
;-1;-1;['']
B0FFHCSIZX;110101;120.172447;30.232264
;-1;-1;['']
B0FFFLJPR9;110101;120.157354;30.203671
;-1;-1;['120.157476,30.204', '120.156971,30.203726', '120.157184,30.20337', '120.157605,30.203509', '120.157652,30.203538', '120.157675,30.203572', '120.15769,30.20361', '120.157692,30.203654', '120.157696,30.203672', '120.157695,30.203697', '120.157476,30.204']
B023B08YLM;110101;120.176513;30.252433
;3.4;-1;['120.176799,30.252928', '120.176749,30.251871', '120.176645,30.251874', '120.176208,30.251881', '120.176298,30.253021', '120.176808,30.252982', '120.176799,30.252928']
B0FFGD1PB5;110101;120.163789;30.238795
;-1;-1;['']
B0FFIXSRMU;110101;120.197615;30.235087
;-1;-1;['']
B0FFHH2SRR;110101;120.145222;30.202959
;-1;-1;['']
B0FFHZRACK;110101;120.159589;30.243697
;-1;-1;['']
B023B1D0DW;110101;120.16034;30.255219
;3.5;-1;['']
B0FFH156MQ;110101;120.163899;30.240537
;-1;-1;['']
B0GUB9P10A;110101;120.162004;30.205745
;-1;-1;['']
B023B09Y7Q;110101;120.162195;30.311318
